,input_text
867,"Title: Broker | Release Date: 2022-06-08 | Overview: Sang-hyun is always struggling from debt, and Dong-soo works at a baby box facility. On a rainy night, they steal the baby Woo-sung, who was left in the baby box, to sell him at a good price. Meanwhile, detectives were watching, and they quietly track them down to capture the crucial evidence. | Directors: Hirokazu Kore-eda | Cast: Song Kang-ho, Gang Dong-won, Bae Doona, IU, Lee Joo-young | Genres: Drama, Comedy, Crime | Production Companies: Zip Cinema, CJ Entertainment | Production Countries: KR"
868,"Title: Operation Fortune: Ruse de Guerre | Release Date: 2023-01-04 | Overview: Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order. | Directors: Guy Ritchie | Cast: Jason Statham, Aubrey Plaza, Josh Hartnett, Hugh Grant, Cary Elwes | Genres: Action, Comedy, Thriller | Production Companies: Miramax, STXfilms, Toff Guy Films, AZ Celtic Films | Production Countries: TR, GB, US"
869,"Title: After We Fell | Release Date: 2021-09-01 | Overview: Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family. | Directors: Castille Landon | Cast: Josephine Langford, Hero Fiennes Tiffin, Louise Lombard, Chance Perdomo, Rob Estes | Genres: Romance, Drama | Production Companies: Voltage Pictures, Wattpad, Vertical, Ethea Entertainment, CalMaple Films | Production Countries: FR, US, BG"
870,"Title: After Ever Happy | Release Date: 2022-08-24 | Overview: As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, moody boy she fell so hard for. | Directors: Castille Landon | Cast: Josephine Langford, Hero Fiennes Tiffin, Louise Lombard, Chance Perdomo, Rob Estes | Genres: Romance, Drama | Production Companies: Voltage Pictures, Wattpad, Vertical, Ethea Entertainment, CalMaple Films | Production Countries: US"
871,"Title: Dune Drifter | Release Date: 2020-10-24 | Overview: When the trainee pilot and her mortally wounded gunner are shot down, they crash land on a nearby planet. An enemy craft offers the chance of spare parts to fix her ship, but then she spots another survivor - an enemy alien soldier with no intention of letting her escape. | Directors: Marc Price | Cast: Phoebe Sparrow, Daisy Aitkens, Simon Dwyer-Thomas, Charlotte Mounter, Alastair Kirton | Genres: Science Fiction | Production Companies: Dead Pixel Productions | Production Countries: GB"
872,"Title: The Fall Guy | Release Date: 2024-04-24 | Overview: Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job. | Directors: David Leitch | Cast: Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson, Hannah Waddingham, Teresa Palmer | Genres: Action, Comedy, Drama, Romance | Production Companies: 87North Productions, Entertainment 360, Universal Pictures, dentsu | Production Countries: US, AU"
873,"Title: Asteroid City | Release Date: 2023-06-08 | Overview: In an American desert town circa 1955, the itinerary of a Junior Stargazer/Space Cadet convention is spectacularly disrupted by world-changing events. | Directors: Wes Anderson | Cast: Jason Schwartzman, Scarlett Johansson, Tom Hanks, Jeffrey Wright, Tilda Swinton | Genres: Comedy, Drama | Production Companies: Indian Paintbrush, American Empirical Pictures, Studio Babelsberg | Production Countries: US, DE"
874,"Title: It's a Summer Film! | Release Date: 2021-08-06 | Overview: Barefoot and her friends decide to make a samurai movie, gather a unique cast and staff for the production, and try to screen it at their school festival. | Directors: Soushi Matsumoto | Cast: Marika Ito, Daichi Kaneko, Yuumi Kawai, Kirara Inori, Shunya Itabashi | Genres: Comedy, Drama, Romance, Science Fiction | Production Companies: Phantom Film, Pipeline | Production Countries: JP"
875,"Title: The Garfield Movie | Release Date: 2024-04-30 | Overview: Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist. | Directors: Mark Dindal | Cast: Chris Pratt, Samuel L. Jackson, Hannah Waddingham, Ving Rhames, Nicholas Hoult | Genres: Family, Comedy, Adventure, Animation | Production Companies: Alcon Entertainment, DNEG, Wayfarer Studios, One Cool Group, Stage 6 Films, Andrews McMeel Entertainment, John Cohen Productions | Production Countries: HK, GB, US"
876,"Title: Umma | Release Date: 2022-03-18 | Overview: Amanda and her daughter live a quiet life on an American farm, but when the remains of her estranged mother arrive from Korea, Amanda becomes haunted by the fear of turning into her own mother. | Directors: Iris K. Shim | Cast: Sandra Oh, Fivel Stewart, Dermot Mulroney, Odeya Rush, MeeWha Alana Lee | Genres: Horror, Mystery | Production Companies: Raimi Productions, Stage 6 Films, Starlight Media | Production Countries: US"
877,"Title: The Lost City | Release Date: 2022-03-24 | Overview: Reclusive author Loretta Sage writes about exotic places in her popular adventure novels that feature a handsome cover model named Alan. While on tour promoting her new book with Alan, Loretta gets kidnapped by an eccentric billionaire who hopes she can lead him to the ancient city's lost treasure that featured in her latest story. Alan, determined to prove he can be a hero in real life and not just on the pages of her books, sets off to rescue her. | Directors: Aaron Nee, Adam Nee | Cast: Sandra Bullock, Channing Tatum, Daniel Radcliffe, Da'Vine Joy Randolph, Brad Pitt | Genres: Action, Adventure, Comedy | Production Companies: Fortis Films, 3dot Productions, Exhibit A | Production Countries: US"
878,"Title: The Moon | Release Date: 2023-08-02 | Overview: In 2029, Korea's lunar probe Woori embarks on a historic journey to the moon, capturing global attention. | Directors: Kim Yong-hwa | Cast: Sul Kyung-gu, Doh Kyung-soo, Kim Hee-ae, Park Byung-eun, Cho Han-cheul | Genres: Drama, Adventure, Science Fiction | Production Companies: Blaad Studios, CJ ENM Studios, NaruN, Cinema Plus, Dexter Studios, CJ Entertainment | Production Countries: KR"
879,"Title: The Black Phone | Release Date: 2022-06-17 | Overview: Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney. | Directors: Scott Derrickson | Cast: Mason Thames, Ethan Hawke, Madeleine McGraw, Jeremy Davies, E. Roger Mitchell | Genres: Horror, Thriller | Production Companies: Blumhouse Productions, Crooked Highway | Production Countries: US"
880,"Title: Drive My Car | Release Date: 2021-08-18 | Overview: Yusuke Kafuku, a stage actor and director, still unable, after two years, to cope with the loss of his beloved wife, accepts to direct Uncle Vanya at a theater festival in Hiroshima. There he meets Misaki, an introverted young woman, appointed to drive his car. In between rides, secrets from the past and heartfelt confessions will be unveiled. | Directors: Ryūsuke Hamaguchi | Cast: Hidetoshi Nishijima, Toko Miura, Masaki Okada, Reika Kirishima, Park Yu-rim | Genres: Drama | Production Companies: Bitters End, C&I entertainment, Culture Entertainment, J-LOD, nekojarashi, Quaras, Bungeishunju, L'espace Vision, Nippan Group Holdings, The Asahi Shimbun | Production Countries: JP"
881,"Title: Orphan: First Kill | Release Date: 2022-07-27 | Overview: After escaping from an Estonian psychiatric facility, Leena Klammer travels to America by impersonating Esther, the missing daughter of a wealthy family. But when her mask starts to slip, she is put against a mother who will protect her family from the murderous “child” at any cost. | Directors: William Brent Bell | Cast: Isabelle Fuhrman, Julia Stiles, Rossif Sutherland, Hiro Kanagawa, Matthew Finlan | Genres: Horror, Thriller | Production Companies: Dark Castle Entertainment, Entertainment One, Eagle Vision | Production Countries: CA, US"
882,"Title: Sword Art Online the Movie – Progressive – Aria of a Starless Night | Release Date: 2021-10-30 | Overview: One month after Kayaba Akihiko's game of death began, the death toll continues to rise, two thousand players having already lost their lives to the ultra-difficult VRMMO world of Sword Art Online. On the day of the strategy meeting to plan out the first-floor boss battle, Kirito, a solo player who vows to fight alone to get stronger, runs into a rare, high-level female player. She gracefully dispatches powerful monsters with a single rapier that flashes like a shooting star in the night... | Directors: Ayako Kono | Cast: Yoshitsugu Matsuoka, Haruka Tomatsu, Inori Minase, Koichi Yamadera, Hiroki Yasumoto | Genres: Animation, Action, Fantasy, Science Fiction | Production Companies: A-1 Pictures, Sonilude, EGG FIRM, Straight Edge, Aniplex, KADOKAWA, Bandai Namco Entertainment | Production Countries: JP"
883,"Title: A Quiet Place: Day One | Release Date: 2024-06-26 | Overview: As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat. | Directors: Michael Sarnoski | Cast: Lupita Nyong'o, Joseph Quinn, Alex Wolff, Djimon Hounsou, Eliane Umuhire | Genres: Horror, Science Fiction, Thriller | Production Companies: Paramount Pictures, Platinum Dunes, Sunday Night Productions | Production Countries: US"
884,"Title: Nope | Release Date: 2022-07-20 | Overview: Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery. | Directors: Jordan Peele | Cast: Daniel Kaluuya, Keke Palmer, Brandon Perea, Michael Wincott, Steven Yeun | Genres: Science Fiction, Horror, Thriller | Production Companies: Universal Pictures, Monkeypaw Productions | Production Countries: US"
885,"Title: Mufasa: The Lion King | Release Date: 2024-12-18 | Overview: Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny. | Directors: Barry Jenkins | Cast: Aaron Pierre, Kelvin Harrison, Jr., Tiffany Boone, Kagiso Lediga, Preston Nyman | Genres: Adventure, Family, Animation | Production Companies: Walt Disney Pictures | Production Countries: US"
886,"Title: Ambulance | Release Date: 2022-03-16 | Overview: Decorated veteran Will Sharp, desperate for money to cover his wife's medical bills, asks for help from his adoptive brother Danny. A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 million. | Directors: Michael Bay | Cast: Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González, Garret Dillahunt, Keir O'Donnell | Genres: Thriller, Action, Crime | Production Companies: Bay Films, Endeavor Content, New Republic Pictures, Project X Entertainment | Production Countries: US"
887,"Title: Missing | Release Date: 2023-01-19 | Overview: When her mother disappears while on vacation in Colombia with her new boyfriend, June’s search for answers is hindered by international red tape. Stuck thousands of miles away in Los Angeles, June creatively uses all the latest technology at her fingertips to try and find her before it’s too late. But as she digs deeper, her digital sleuthing raises more questions than answers... and when June unravels secrets about her mom, she discovers that she never really knew her at all. | Directors: Will Merrick, Nicholas D. Johnson | Cast: Storm Reid, Joaquim de Almeida, Ken Leung, Amy Landecker, Daniel Henney | Genres: Drama, Mystery, Thriller | Production Companies: Stage 6 Films, Search Party, Bazelevs Entertainment, Screen Gems | Production Countries: US"
